ZIP Code,Efficiency,One-Bedroom,Two-Bedroom,Three-Bedroom,Four-Bedroom
91108,"$2,040 ","$2,290 ","$2,890 ","$3,670 ","$4,070 "
91109,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91114,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91115,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91116,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91117,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91118,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91123,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91125,"$2,120 ","$2,380 ","$3,000 ","$3,810 ","$4,230 "
91129,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91185,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91201,"$1,970 ","$2,210 ","$2,790 ","$3,550 ","$3,930 "
91202,"$2,150 ","$2,410 ","$3,040 ","$3,860 ","$4,280 "
91203,"$2,060 ","$2,320 ","$2,920 ","$3,710 ","$4,110 "
91204,"$1,990 ","$2,240 ","$2,820 ","$3,580 ","$3,970 "
91205,"$1,940 ","$2,180 ","$2,750 ","$3,490 ","$3,870 "
91206,"$2,170 ","$2,430 ","$3,070 ","$3,900 ","$4,320 "
91207,"$2,250 ","$2,520 ","$3,180 ","$4,040 ","$4,480 "
91208,"$2,260 ","$2,540 ","$3,200 ","$4,070 ","$4,510 "
91209,"$1,860 ","$2,090 ","$2,630 ","$3,340 ","$3,710 "
91210,"$2,790 ","$3,120 ","$3,940 ","$5,010 ","$5,550 "
91214,"$2,370 ","$2,660 ","$3,350 ","$4,260 ","$4,720 "
